구분,기능 대분류,기능 중분류,기능 소분류,상세 기능,설명,우선순위,가능여부,구현 기간,진행상황,담당자,비고
,3. 일정관리,3-1. 일정 추가하기,"3-1-1. 기간 선택 (날짜, 시간)",,- 달력 형태로 보여주기,보통,Not started,,진행 예정,,2
,,,3-1-2. 내용 추가,,"- 입력 내용 IoT에 예약 하도록 서버에 전달
- 약 복용, 병원 예약",보통,Not started,,진행 예정,,2
,,3-2. 일정 변경하기,,,,보통,Not started,,진행 예정,,2
,,3-3. 일정 삭제하기,,,,보통,Not started,,진행 예정,,“삭제하시겠습니까” alert
,4. 로그(기록),,,," - 시뮬레이터 작동 기록",매우 중요,Not started,,진행 예정,,2
,5. 영상 송출,5-1. 로봇 1인칭,5-1-1. 화면 송출,,- 현재 로봇이 보는 시야 앱으로 송출,중요,Not started,,진행 예정,,4
,,,5-1-2. 로봇 수동 제어,,- 주행  중인 로봇 수동으로 제어,중요,Not started,,진행 예정,,4
,,5-2. 고정형 cctv,5-2-1. 화면 송출,,- 현재 방의 화면을 송출,중요,Not started,,진행 예정,,4
,,,5-2-2. 화면 전환,,- 클릭 시 해당 방 화면 송출,중요,Not started,,진행 예정,,4
,6. 알림,6-1. 푸시 알람,,,,중요,Not started,,진행 예정,,5
,7. 설정 메뉴바,7-1. 일상 알람,7-1-1. 알림 받기,,,보통,Not started,,진행 예정,,5
,,,7-1-2. 알림 on / off,,,보통,Not started,,진행 예정,,5
,,"7-2. 로그아웃 ",7-2-1. 로그아웃,,,중요,Not started,,진행 예정,,3
시뮬레이터,1. 환자 추종,1-1. 환자 인식,,,,매우 중요,Not started,,진행 예정,,
,,1-2. 환자 경로 추종,,,,매우 중요,Not started,,진행 예정,,
,,1-3. 장애물 회피 주행,,,,추후 구현,Not started,,진행 예정,,
,2. 사용자 음성 제어,2-1. 호출,2-1-1. 특정 단어 인식,,,중요,Not started,,진행 예정,,
,,2-2. 명령어 인식,2-2-1. 심부름 명령 인식,,,중요,Not started,,진행 예정,,
,,,2-2-2. 가전제어 명령 인식,2-2-2-1. 에어컨,,중요,Not started,,진행 예정,,
,,,,2-2-2-2. TV,,중요,Not started,,진행 예정,,
,,,,2-2-2-3. 공기청정기,,중요,Not started,,진행 예정,,
,,,,2-2-2-4. 조명,,중요,Not started,,진행 예정,,
,,,,2-2-2-5. 커튼,,추후 구현,Not started,,진행 예정,,
,,,,2-2-2-6. 문,,추후 구현,Not started,,진행 예정,,
,,,,2-2-2-7. 가스밸브,,추후 구현,Not started,,진행 예정,,
,,2-3. 물건 심부름,2-3-1. 현재 위치 인식,,,보통,Not started,,진행 예정,,
,,,2-3-2. 대상 물체 위치 인식,,,보통,Not started,,진행 예정,,
,,,2-3-3. 최적 경로 생성,,,보통,Not started,,진행 예정,,
,,,2-3-4. 장애물 회피 주행,,,추후 구현,Not started,,진행 예정,,
,,,2-3-5. 물건 들어올리기,,,보통,Not started,,진행 예정,,
,,2-4. 가전 및 IoT 제어,2-4-1. 현재 위치 인식,,,중요,Not started,,진행 예정,,
,,,2-4-2. 대상 물체 위치 인식,,,중요,Not started,,진행 예정,,
,,,2-4-3. 최적 경로 생성,,,중요,Not started,,진행 예정,,
,,,2-4-4. 장애물 회피 주행,,,추후 구현,Not started,,진행 예정,,
,,,2-4-5. 가전 및 IoT 조작,,,중요,Not started,,진행 예정,,
,3. 앱 제어,3-1. 가전 및 IoT 제어,3-1-1. 에어컨,on/off ( 희망 온도),,매우 중요,Not started,"March 13, 2023 → March 17, 2023",진행 예정,,
,,,3-1-2. TV,on/off ( + 현재 채널),,매우 중요,Not started,,진행 예정,,
,,,3-1-3. 공기청정기,"on/off ",,매우 중요,Not started,,진행 예정,,
,,,3-1-4. 조명,on/off (방 별로),,매우 중요,Not started,,진행 예정,,
,,,3-1-5. 커튼,"on/off ",,추후 구현,Not started,,진행 예정,,
,,,3-1-6. 문,on/off 표시 (문 별로),,추후 구현,Not started,,진행 예정,,
,,,3-1-7. 가스밸브,on/off 표시,,추후 구현,Not started,,진행 예정,,
,4. SLAM 맵핑,,,,"- 로봇 초기 세팅 시 한번만
(맵핑 과정 캡쳐or 영상촬영 必)",매우 중요,Not started,"March 6, 2023 → March 10, 2023",진행 예정,,
,5. 알림,5-1. 해당 날짜 전체 일정," ",,,중요,Not started,,진행 예정,,
,,5-2. 해당 시간 일정,,,,중요,Not started,,진행 예정,,
